duplicate,DealerName,DealerCity,DealerState,DealerZipCode
,CULVER CITY HONDA,CULVER CITY,CA,90232
,MILLER HONDA CULVER CITY,CULVER CITY,CA,90232
,BUENA PARK HONDA,BUENA PARK,CA,90621
,NORM REEVES HONDA SUPERSTORE DBA NORM REEVES USED CAR OUTLT,CERRITOS,CA,90701
,CARSON HONDA,CARSON,CA,90745
,DIAMOND HONDA,CITY OF INDUSTRY,CA,91748
,GOUDY HONDA,ALHAMBRA,CA,91801
,FULLER HONDA,CHULA VISTA,CA,91911
,HOEHN HONDA,CARLSBAD,CA,92008
,HONDA OF THE DESERT,CATHEDRAL CITY,CA,92234
,AUTONATION HONDA COSTA MESA,COSTA MESA,CA,92626
,POWER HONDA COSTA MESA,COSTA MESA,CA,92626
,HARDIN HONDA HARDIN BUICK PONT GMC OLSMOBILE GMC TRUCK,ANAHEIM,CA,92806
,WEIR CANYON HONDA,ANAHEIM,CA,92807
,WEIR CANYON HONDA,ANAHEIM,CA,92808
,HONDA CARS OF CORONA,CORONA,CA,92882
,BARBER HONDA,BAKERSFIELD,CA,93313
,PERRY MOTORS INC DBA PERRY HONDA,BISHOP,CA,93514
,HONDA NORTH,CLOVIS,CA,93612
,MIKE HARVEY HONDA,BURLINGAME,CA,94010
,HONDA OF SERRAMONTE,COLMA,CA,94014
,CONCORD HONDA,CONCORD,CA,94520
,BERKELEY HONDA,BERKELEY,CA,94704
1,BERKELEY HONDA AUTOCENTER,BERKELEY,CA,94704
,MARIN HONDA,CORTE MADERA,CA,94925
,AUBURN HONDA,AUBURN,CA,95603
,CARMICHAEL HONDA,CITRUS HTS,CA,95621
,MAITA HONDA,CITRUS HEIGHTS,CA,95621
,WITTMEIER FORD LINCOLN MERCURY/HONDA,CHICO,CA,95928
