NameMatch,DealerName_man,DealerName,DealerZipCode,DealerCity,DealerState,_merge
,Culver City,MILLER HONDA CULVER CITY,90232,CULVER CITY,CA,matched (3)
1,Buena Park Honda,BUENA PARK HONDA,90621,BUENA PARK,CA,matched (3)
,Norm Reeves,,90703,,,master only (1)
1,Carson Honda,CARSON HONDA,90745,CARSON,CA,matched (3)
1,Diamond Honda,DIAMOND HONDA,91748,CITY OF INDUSTRY,CA,matched (3)
1,Goudy Honda,GOUDY HONDA,91801,ALHAMBRA,CA,matched (3)
1,Fuller,FULLER HONDA,91911,CHULA VISTA,CA,matched (3)
1,Hoehn,HOEHN HONDA,92008,CARLSBAD,CA,matched (3)
1,Honda of the desert,HONDA OF THE DESERT,92234,CATHEDRAL CITY,CA,matched (3)
,AutoNation,POWER HONDA COSTA MESA,92626,COSTA MESA,CA,matched (3)
1,Hardin,HARDIN HONDA HARDIN BUICK PONT GMC OLSMOBILE GMC TRUCK,92806,ANAHEIM,CA,matched (3)
1,Weir Canyon,WEIR CANYON HONDA,92807,ANAHEIM,CA,matched (3)
1,Honda cars of coronoa,HONDA CARS OF CORONA,92882,CORONA,CA,matched (3)
1,Barber,BARBER HONDA,93313,BAKERSFIELD,CA,matched (3)
1,Perry Motors,PERRY MOTORS INC DBA PERRY HONDA,93514,BISHOP,CA,matched (3)
1,Honda North,HONDA NORTH,93612,CLOVIS,CA,matched (3)
1,Ocean Honda,MIKE HARVEY HONDA,94010,BURLINGAME,CA,matched (3)
1,Honda of Seramonte,HONDA OF SERRAMONTE,94014,COLMA,CA,matched (3)
1,Concord Honda,CONCORD HONDA,94520,CONCORD,CA,matched (3)
1,Berkeley Honda,BERKELEY HONDA,94704,BERKELEY,CA,matched (3)
1,Auburn Honda,AUBURN HONDA,95603,AUBURN,CA,matched (3)
1,Matia Honda,MAITA HONDA,95621,CITRUS HEIGHTS,CA,matched (3)
1,Wittmeir Honda,WITTMEIER FORD LINCOLN MERCURY/HONDA,95928,CHICO,CA,matched (3)
1,Culver City,CULVER CITY HONDA,90232,CULVER CITY,CA,matched (3)
,,NORM REEVES HONDA SUPERSTORE DBA NORM REEVES USED CAR OUTLT,90701,CERRITOS,CA,using only (2)
1,AutoNation,AUTONATION HONDA COSTA MESA,92626,COSTA MESA,CA,matched (3)
,,WEIR CANYON HONDA,92808,ANAHEIM,CA,using only (2)
,,MARIN HONDA,94925,CORTE MADERA,CA,using only (2)
,Matia Honda,CARMICHAEL HONDA,95621,CITRUS HTS,CA,matched (3)
