NameMatch,DealerName_man,DealerName,DealerZipCode,DealerCity,DealerState,_merge
1,Buena Park Nissan,BUENA PARK NISSAN,90621,BUENA PARK,CA,matched (3)
1,Cerritos Nisan,CERRITOS NISSAN,90703,CERRITOS,CA,matched (3)
1,Carson Nissan,CARSON NISSAN,90745,CARSON,CA,matched (3)
1,Punte Hills Nissan,PUENTE HILLS NISSAN,91748,CITY OF INDUSTRY,CA,matched (3)
1,Alhambra Nissan,ALHAMBRA NISSAN,91801,ALHAMBRA,CA,matched (3)
1,Mossy Nissan Chula Vista,MOSSY NISSAN CHULA VISTA,91911,CHULA VISTA,CA,matched (3)
1,Palm Springs Nissan,PALM SPRINGS NISSAN,92234,CATHEDRAL CITY,CA,matched (3)
1,Soutar's Ford Lincoln Nissan,SOUTARS FORD NISSAN,92311,BARSTOW,CA,matched (3)
0,Orange Coast Nissan,COSTA MESA NISSAN,92626,COSTA MESA,CA,matched (3)
,Larry H Miller Nissan coronoa,CORONA NISSAN,92882,CORONA,CA,matched (3)
1,Nissan of Bakersfield,NISSAN OF BAKERSFIELD,93313,BAKERSFIELD,CA,matched (3)
1,Lithia Nissan of Clovis,LITHIA NISSAN OF CLOVIS,93612,CLOVIS,CA,matched (3)
,Nissan of Burlingame,,94010,,,master only (1)
1,Nissan of Serramonte,SERRAMONTE AUTO PLAZA/NISSAN/ ISUZU/CHRYL JEEP DODGE/MITSU,94014,COLMA,CA,matched (3)
1,Antioch Nissan,ANTIOCH NISSAN,94509,ANTIOCH,CA,matched (3)
1,Autocom Nissan of Concord,AUTOCOM NISSAN OF CONCORD,94520,CONCORD,CA,matched (3)
1,Chico Nisan,CHICO NISSAN INC DBA CHICO HYUNDAI,95926,CHICO,CA,matched (3)
,,NISSAN NORTH AMERICA INC,90248,CARSON,CA,using only (2)
0,Soutar's Ford Lincoln Nissan,MOJAVE FORD OF BARSTOW MOJAVE NISSAN OF BARSTOW,92311,BARSTOW,CA,matched (3)
,Orange Coast Nissan,CONNELL NISSAN,92626,COSTA MESA,CA,matched (3)
,Lithia Nissan of Clovis,NISSAN OF CLOVIS,93612,CLOVIS,CA,matched (3)
,Autocom Nissan of Concord,DIRITO BROTHERS CONCORD NISSAN,94520,CONCORD,CA,matched (3)
,,MCKEVITT VOLVO/MCKEVITT NISSAN,94705,BERKELEY,CA,using only (2)
