duplicate,DealerName,DealerCity,DealerState,DealerZipCode
,NISSAN NORTH AMERICA INC,CARSON,CA,90248
,BUENA PARK NISSAN,BUENA PARK,CA,90621
,CERRITOS NISSAN,CERRITOS,CA,90703
,CARSON NISSAN,CARSON,CA,90745
,PUENTE HILLS NISSAN,CITY OF INDUSTRY,CA,91748
,ALHAMBRA NISSAN,ALHAMBRA,CA,91801
,MOSSY NISSAN CHULA VISTA,CHULA VISTA,CA,91911
,PALM SPRINGS NISSAN,CATHEDRAL CITY,CA,92234
,MOJAVE FORD OF BARSTOW MOJAVE NISSAN OF BARSTOW,BARSTOW,CA,92311
,SOUTARS FORD NISSAN,BARSTOW,CA,92311
,CONNELL NISSAN,COSTA MESA,CA,92626
,COSTA MESA NISSAN,COSTA MESA,CA,92626
,CORONA NISSAN,CORONA,CA,92882
,NISSAN OF BAKERSFIELD,BAKERSFIELD,CA,93313
,LITHIA NISSAN OF CLOVIS,CLOVIS,CA,93612
,NISSAN OF CLOVIS,CLOVIS,CA,93612
,SERRAMONTE AUTO PLAZA/NISSAN/ ISUZU/CHRYL JEEP DODGE/MITSU,COLMA,CA,94014
,ANTIOCH NISSAN,ANTIOCH,CA,94509
,AUTOCOM NISSAN OF CONCORD,CONCORD,CA,94520
,DIRITO BROTHERS CONCORD NISSAN,CONCORD,CA,94520
,MCKEVITT VOLVO/MCKEVITT NISSAN,BERKELEY,CA,94705
,CHICO NISSAN INC DBA CHICO HYUNDAI,CHICO,CA,95926
