duplicate,DealerName,DealerCity,DealerState,DealerZipCode
,CULVER CITY TOYOTA DBA CULVER,CULVER CITY,CA,90232
,MILLER TOYOTA/SCION,CULVER CITY,CA,90232
,AUTONATION TOYOTA BUENA PARK AUTONATION SCION BUENA PARK,BUENA PARK,CA,90621
,POWER TOYOTA/SCION BUENA PARK,BUENA PARK,CA,90621
,AUTONATION TOYOTA CERRITOS AUTONATION SCION CERRITOS,CERRITOS,CA,90703
,POWER TOYOTA CERRITOS,CERRITOS,CA,90703
,CARSON TOYOTA,CARSON,CA,90745
1,CLAREMONT TOYOTA DBA CLAREMONT SCION,CLAREMONT,CA,91711
,CLAREMONT TOYOTA/SCION,CLAREMONT,CA,91711
,PUENTE HILLS TOYOTA/SCION,CITY OF INDUSTRY,CA,91748
,WONDRIES TOYOTA/SCION,ALHAMBRA,CA,91801
1,TOYOTA CHULA VISTA DBA SCION CHULA VISTA,CHULA VISTA,CA,91911
,TOYOTA/SCION CHULA VISTA,CHULA VISTA,CA,91911
,TOYOTA CARLSBAD DBA SCION CARLSBAD,CARLSBAD,CA,92008
,TOYOTA OF THE DESERT,CATHEDRAL CITY,CA,92234
1,TOYOTA OF THE DESERT INC,CATHEDRAL CITY,CA,92234
,MOJAVE TOYOTA OF BARSTOW MOJAVE CHRYSLER DODGE JEEP RAM,BARSTOW,CA,92311
,SOUTH COAST TOYOTA/SCION,COSTA MESA,CA,92627
,MILLER TOYOTA OF ANAHEIM/MILLE R SCION OF ANAHEIM,ANAHEIM,CA,92801
,LARRY H MILLER TOYOTA CORONA LARRY H MILLER SCION CORONA,CORONA,CA,92882
,QUALITY TOYOTA/HYUNDAI/SCION,CORONA,CA,92882
,NORTH BAKERSFIELD TOYOTA SCION,BAKERSFIELD,CA,93308
,BILL WRIGHT TOYOTA/SCION,BAKERSFIELD,CA,93313
1,TOYOTA OF CLOVIS/SCION OF CLOVIS,CLOVIS,CA,93612
,TOYOTA SCION OF CLOVIS,CLOVIS,CA,93612
,PUTNAM TOYOTA,BURLINGAME,CA,94010
,ANTIOCH TOYOTA,ANTIOCH,CA,94509
1,ANTIOCH TOYOTA DBA ANTIOCH SCION,ANTIOCH,CA,94509
,CONCORD TOYOTA/SCION,CONCORD,CA,94520
,TOYOTA OF BERKELEY /TEAM TOYOTA RICHMOND,BERKELEY,CA,94704
,TOYOTA/SUBARU/SCION OF SANTA CRUZ,CAPITOLA,CA,95010
,MAGNUSSENS AUBURN TOYOTA/SCION,AUBURN,CA,95603
,CHUCK PATTERSON TOYOTA/SCION/DODGE,CHICO,CA,95926
