NameMatch,DealerName_man,DealerName,DealerZipCode,DealerCity,DealerState,_merge
1,Culver City Toyota,CULVER CITY TOYOTA DBA CULVER,90232,CULVER CITY,CA,matched (3)
,AutoNation Toyota Buena Park,POWER TOYOTA/SCION BUENA PARK,90621,BUENA PARK,CA,matched (3)
,AutoNation Toyota Cerritos,POWER TOYOTA CERRITOS,90703,CERRITOS,CA,matched (3)
1,Carson Toyota,CARSON TOYOTA,90745,CARSON,CA,matched (3)
1,Claremont Toyota,CLAREMONT TOYOTA/SCION,91711,CLAREMONT,CA,matched (3)
,Punte Hills Toyota,,91791,,,master only (1)
1,Wondries Toyota,WONDRIES TOYOTA/SCION,91801,ALHAMBRA,CA,matched (3)
1,Toyota Chula Vista,TOYOTA/SCION CHULA VISTA,91911,CHULA VISTA,CA,matched (3)
,Toyota Carlsbad,TOYOTA CARLSBAD DBA SCION CARLSBAD,92008,CARLSBAD,CA,matched (3)
1,Toyota of the Desert,TOYOTA OF THE DESERT,92234,CATHEDRAL CITY,CA,matched (3)
1,Mojave Toyota of Barstow,MOJAVE TOYOTA OF BARSTOW MOJAVE CHRYSLER DODGE JEEP RAM,92311,BARSTOW,CA,matched (3)
1,South Coast Toytoa,SOUTH COAST TOYOTA/SCION,92627,COSTA MESA,CA,matched (3)
1,Miller Toyota of Anaheim,MILLER TOYOTA OF ANAHEIM/MILLE R SCION OF ANAHEIM,92801,ANAHEIM,CA,matched (3)
,Larry H Miller Toyota Corona,,92881,,,master only (1)
1,North Bakersfield Toyota,NORTH BAKERSFIELD TOYOTA SCION,93308,BAKERSFIELD,CA,matched (3)
1,Bill Wright Toyota,BILL WRIGHT TOYOTA/SCION,93313,BAKERSFIELD,CA,matched (3)
1,Toyota of Clovis,TOYOTA SCION OF CLOVIS,93612,CLOVIS,CA,matched (3)
1,Putnam Toyota,PUTNAM TOYOTA,94010,BURLINGAME,CA,matched (3)
1,Antioch Toyota,ANTIOCH TOYOTA,94509,ANTIOCH,CA,matched (3)
1,Concord Toyota,CONCORD TOYOTA/SCION,94520,CONCORD,CA,matched (3)
1,Toyota of Berkeley,TOYOTA OF BERKELEY /TEAM TOYOTA RICHMOND,94704,BERKELEY,CA,matched (3)
0,Toyota of Berkeley Certified Service Center,,94710,,,master only (1)
1,Toyota of Capitola,TOYOTA/SUBARU/SCION OF SANTA CRUZ,95010,CAPITOLA,CA,matched (3)
1,Auburn Toyota,MAGNUSSENS AUBURN TOYOTA/SCION,95603,AUBURN,CA,matched (3)
1,Chuck Patterson Toyota Dodge,CHUCK PATTERSON TOYOTA/SCION/DODGE,95926,CHICO,CA,matched (3)
1,Culver City Toyota,MILLER TOYOTA/SCION,90232,CULVER CITY,CA,matched (3)
1,AutoNation Toyota Buena Park,AUTONATION TOYOTA BUENA PARK AUTONATION SCION BUENA PARK,90621,BUENA PARK,CA,matched (3)
1,AutoNation Toyota Cerritos,AUTONATION TOYOTA CERRITOS AUTONATION SCION CERRITOS,90703,CERRITOS,CA,matched (3)
,,PUENTE HILLS TOYOTA/SCION,91748,CITY OF INDUSTRY,CA,using only (2)
,,QUALITY TOYOTA/HYUNDAI/SCION,92882,CORONA,CA,using only (2)
,,LARRY H MILLER TOYOTA CORONA LARRY H MILLER SCION CORONA,92882,CORONA,CA,using only (2)
