DealerName,DealerCity,DealerState,DealerZipCode,duplicate
KEN GRODY FORD,BUENA PARK,CA,90621,
CERRITOS HYUN FORD LINC,CERRITOS,CA,90703,
NORM REEVES FORD SUPERSTORE/NORM REEVES LINCOLN,CERRITOS,CA,90703,
CHINO HILLS FORD,CHINO,CA,91710,
PUENTE HILLS FORD,CITY OF INDUSTRY,CA,91748,
BOB WONDRIES FORD,ALHAMBRA,CA,91801,
FULLER FORD,CHULA VISTA,CA,91911,
FULLER FORD DBA FULLER KIA,CHULA VISTA,CA,91911,1
VINCE DIXON FORD INC/KEN GRODY FORD,CARLSBAD,CA,92008,
LARRY GREEN FORD,BLYTHE,CA,92225,
LARRY GREEN FORD INC,BLYTHE,CA,92225,1
ROBINSON FORD SALES INC,CALEXICO,CA,92231,
PALM SPRINGS FORD LINCOLN MERC/MAZDA,CATHEDRAL CTY,CA,92234,
MOJAVE FORD OF BARSTOW MOJAVE NISSAN OF BARSTOW,BARSTOW,CA,92311,
SOUTARS FORD NISSAN,BARSTOW,CA,92311,
THEODORE ROBINS FORD,COSTA MESA,CA,92627,
THEODORE ROBINS FORD,COSTA MESA,CA,92628,
JIM BURKE FORD,BAKERSFIELD,CA,93301,
MULLAHEY FORD,ARROYO GRANDE,CA,93420,
JIM VREELAND FORD,BUELLTON,CA,93427,
BISHOP FORD,BISHOP,CA,93514,
SILVA FORD,CHOWCHILLA,CA,93610,
FUTURE FORD OF CLOVIS,CLOVIS,CA,93612,
SERRAMONTE FORD,COLMA,CA,94014,
SERRAMONTE FORD INC,COLMA,CA,94014,1
BILL BRANDT FORD INC,BRENTWOOD,CA,94513,
BILL BRANDT FORD INC BILL BRANDT CHRYSLER DODGE,BRENTWOOD,CA,94513,1
FUTURE FORD LINCOLN OF CONCORD/FUTURE AUTO CENTER OF CONCORD,CONCORD,CA,94520,
FUTURE FORD OF CONCORD,CONCORD,CA,94520,1
ALBANY FORD INC DBA ALBNY FRD SBARU/ALBANY SBARU/ALBANY FORD,ALBANY,CA,94706,
COUNTRY FORD TRUCKS INC,CERES,CA,95307,
AUBURN FORD,AUBURN,CA,95603,
WITTMEIER FORD LINCOLN MERCURY/HONDA,CHICO,CA,95928,
CORNING FORD MERCURY KIA,CORNING,CA,96021,
